group,sentence,verb,construction
0,Bill threw the box.,threw,transitive
0,Frank pulled the ball.,pulled,transitive
0,Jack tore the wall.,tore,transitive
0,Steve hit the fridge.,hit,transitive
0,Adam threw George the laptop.,threw,ditransitive
0,Eric pulled Paul the door.,pulled,ditransitive
0,Harry tore Thomas the tree.,tore,ditransitive
0,John hit Henry the door.,hit,ditransitive
0,Tom threw the window off the bridge.,threw,caused-motion
0,Sam pulled the tree onto the elevator.,pulled,caused-motion
0,David tore the bread into the plane.,tore,caused-motion
0,Andrew hit the wall into the net.,hit,caused-motion
0,Mike threw the book open.,threw,resultative
0,James pulled the window open.,pulled,resultative
0,Michael tore the laptop apart.,tore,resultative
0,Bob hit the window open.,hit,resultative
1,Eric hit the fridge.,hit,transitive
1,John pushed the fridge.,pushed,transitive
1,Jack threw the book.,threw,transitive
1,Adam punched the door.,punched,transitive
1,Andrew hit Sam the wall.,hit,ditransitive
1,James pushed George the door.,pushed,ditransitive
1,Paul threw Frank the box.,threw,ditransitive
1,Bill punched Mike the book.,punched,ditransitive
1,Tom hit the door through the air.,hit,caused-motion
1,Michael pushed the laptop to the airport.,pushed,caused-motion
1,Thomas threw the laptop through the hole.,threw,caused-motion
1,David punched the wall onto the elevator.,punched,caused-motion
1,Harry hit the window open.,hit,resultative
1,Steve pushed the window open.,pushed,resultative
1,Bob threw the window open.,threw,resultative
1,Henry punched the table apart.,punched,resultative
2,Eric sliced the book.,sliced,transitive
2,Bob cut the ball.,cut,transitive
2,Harry threw the window.,threw,transitive
2,Sam tore the wall.,tore,transitive
2,John sliced Andrew the box.,sliced,ditransitive
2,Paul cut Michael the bread.,cut,ditransitive
2,George threw Frank the laptop.,threw,ditransitive
2,Bill tore Thomas the bread.,tore,ditransitive
2,Henry sliced the ball onto the roof.,sliced,caused-motion
2,Adam cut the box into the house.,cut,caused-motion
2,James threw the box to the hospital.,threw,caused-motion
2,Tom tore the tree through the air.,tore,caused-motion
2,Mike sliced the bread apart.,sliced,resultative
2,Steve cut the tree down.,cut,resultative
2,Jack threw the book open.,threw,resultative
2,David tore the laptop apart.,tore,resultative
3,Sam hit the door.,hit,transitive
3,Steve got the door.,got,transitive
3,Bob kicked the door.,kicked,transitive
3,Bill sliced the bread.,sliced,transitive
3,David hit Eric the window.,hit,ditransitive
3,James got Jack the ball.,got,ditransitive
3,Adam kicked Paul the box.,kicked,ditransitive
3,George sliced Mike the ball.,sliced,ditransitive
3,Frank hit the wall over the fence.,hit,caused-motion
3,Tom got the fridge into the water.,got,caused-motion
3,Thomas kicked the ball onto the elevator.,kicked,caused-motion
3,John sliced the box to the beach.,sliced,caused-motion
3,Henry hit the fridge open.,hit,resultative
3,Andrew got the book closed.,got,resultative
3,Harry kicked the wall down.,kicked,resultative
3,Michael sliced the book apart.,sliced,resultative
4,James pulled the ball.,pulled,transitive
4,Andrew tore the bread.,tore,transitive
4,Michael sliced the box.,sliced,transitive
4,Frank hit the fridge.,hit,transitive
4,Eric pulled Thomas the door.,pulled,ditransitive
4,Bill tore David the tree.,tore,ditransitive
4,Bob sliced Paul the book.,sliced,ditransitive
4,Sam hit Tom the wall.,hit,ditransitive
4,Adam pulled the tree to the beach.,pulled,caused-motion
4,Mike tore the wall into the plane.,tore,caused-motion
4,George sliced the ball through the forest.,sliced,caused-motion
4,John hit the window onto the roof.,hit,caused-motion
4,Jack pulled the window open.,pulled,resultative
4,Henry tore the laptop apart.,tore,resultative
4,Steve sliced the bread apart.,sliced,resultative
4,Harry hit the door open.,hit,resultative
5,Adam pulled the ball.,pulled,transitive
5,James kicked the box.,kicked,transitive
5,Tom punched the wall.,punched,transitive
5,John got the fridge.,got,transitive
5,Thomas pulled Jack the window.,pulled,ditransitive
5,Michael kicked Harry the ball.,kicked,ditransitive
5,Mike punched Henry the book.,punched,ditransitive
5,Steve got Eric the ball.,got,ditransitive
5,George pulled the tree onto the elevator.,pulled,caused-motion
5,Bob kicked the door over the balcony.,kicked,caused-motion
5,Paul punched the table onto the bed.,punched,caused-motion
5,Bill got the door through the air.,got,caused-motion
5,David pulled the door open.,pulled,resultative
5,Andrew kicked the wall down.,kicked,resultative
5,Frank punched the door shut.,punched,resultative
5,Sam got the book closed.,got,resultative
6,George threw the laptop.,threw,transitive
6,Paul pulled the tree.,pulled,transitive
6,Eric punched the book.,punched,transitive
6,Frank kicked the wall.,kicked,transitive
6,Sam threw Bill the book.,threw,ditransitive
6,Jack pulled James the ball.,pulled,ditransitive
6,Tom punched Adam the door.,punched,ditransitive
6,Bob kicked Andrew the ball.,kicked,ditransitive
6,Harry threw the box onto the elevator.,threw,caused-motion
6,David pulled the door to the beach.,pulled,caused-motion
6,Michael punched the table through the forest.,punched,caused-motion
6,Steve kicked the box through the hole.,kicked,caused-motion
6,Mike threw the window open.,threw,resultative
6,Henry pulled the window open.,pulled,resultative
6,Thomas punched the wall down.,punched,resultative
6,John kicked the door open.,kicked,resultative
7,Michael tore the tree.,tore,transitive
7,Thomas kicked the wall.,kicked,transitive
7,Bob sliced the bread.,sliced,transitive
7,Eric pushed the door.,pushed,transitive
7,Frank tore James the wall.,tore,ditransitive
7,Henry kicked Paul the box.,kicked,ditransitive
7,David sliced Tom the ball.,sliced,ditransitive
7,Bill pushed Adam the window.,pushed,ditransitive
7,Mike tore the laptop to the hospital.,tore,caused-motion
7,Harry kicked the ball through the air.,kicked,caused-motion
7,Steve sliced the book off the bus.,sliced,caused-motion
7,Jack pushed the laptop onto the roof.,pushed,caused-motion
7,Andrew tore the bread apart.,tore,resultative
7,George kicked the door open.,kicked,resultative
7,Sam sliced the box apart.,sliced,resultative
7,John pushed the fridge open.,pushed,resultative
8,Thomas threw the box.,threw,transitive
8,John cut the tree.,cut,transitive
8,Mike kicked the door.,kicked,transitive
8,Harry tore the laptop.,tore,transitive
8,Henry threw Sam the laptop.,threw,ditransitive
8,Andrew cut Jack the box.,cut,ditransitive
8,George kicked James the box.,kicked,ditransitive
8,Bill tore Frank the bread.,tore,ditransitive
8,Adam threw the book into the house.,threw,caused-motion
8,Eric cut the ball onto the bed.,cut,caused-motion
8,Tom kicked the ball off the bus.,kicked,caused-motion
8,Steve tore the tree over the balcony.,tore,caused-motion
8,Paul threw the window open.,threw,resultative
8,Bob cut the bread apart.,cut,resultative
8,Michael kicked the wall down.,kicked,resultative
8,David tore the wall down.,tore,resultative
9,George threw the laptop.,threw,transitive
9,Mike sliced the ball.,sliced,transitive
9,Adam punched the table.,punched,transitive
9,James kicked the wall.,kicked,transitive
9,John threw Tom the box.,threw,ditransitive
9,Bill sliced Henry the book.,sliced,ditransitive
9,Eric punched Paul the wall.,punched,ditransitive
9,David kicked Harry the ball.,kicked,ditransitive
9,Michael threw the window to the hospital.,threw,caused-motion
9,Bob sliced the box over the fence.,sliced,caused-motion
9,Frank punched the door into the house.,punched,caused-motion
9,Steve kicked the door onto the elevator.,kicked,caused-motion
9,Sam threw the book open.,threw,resultative
9,Andrew sliced the bread apart.,sliced,resultative
9,Jack punched the book apart.,punched,resultative
9,Thomas kicked the box apart.,kicked,resultative
10,Harry sliced the bread.,sliced,transitive
10,Thomas kicked the box.,kicked,transitive
10,George cut the ball.,cut,transitive
10,Tom got the book.,got,transitive
10,Henry sliced Eric the box.,sliced,ditransitive
10,Mike kicked Frank the ball.,kicked,ditransitive
10,Adam cut Paul the tree.,cut,ditransitive
10,Andrew got Steve the door.,got,ditransitive
10,Sam sliced the ball onto the bed.,sliced,caused-motion
10,Michael kicked the wall into the house.,kicked,caused-motion
10,Bill cut the box into the water.,cut,caused-motion
10,Jack got the fridge onto the elevator.,got,caused-motion
10,John sliced the book apart.,sliced,resultative
10,James kicked the door open.,kicked,resultative
10,Bob cut the bread apart.,cut,resultative
10,David got the ball stuck.,got,resultative
11,Adam pulled the ball.,pulled,transitive
11,Eric got the ball.,got,transitive
11,David pushed the window.,pushed,transitive
11,Sam punched the door.,punched,transitive
11,Steve pulled George the window.,pulled,ditransitive
11,Michael got Andrew the book.,got,ditransitive
11,Thomas pushed John the laptop.,pushed,ditransitive
11,Bill punched Tom the wall.,punched,ditransitive
11,Jack pulled the door to the beach.,pulled,caused-motion
11,Frank got the fridge over the fence.,got,caused-motion
11,Henry pushed the door through the forest.,pushed,caused-motion
11,Mike punched the table onto the bed.,punched,caused-motion
11,James pulled the tree down.,pulled,resultative
11,Paul got the door open.,got,resultative
11,Harry pushed the fridge open.,pushed,resultative
11,Bob punched the book apart.,punched,resultative
12,Sam kicked the ball.,kicked,transitive
12,Thomas got the door.,got,transitive
12,James cut the box.,cut,transitive
12,John hit the fridge.,hit,transitive
12,Frank kicked Paul the door.,kicked,ditransitive
12,Andrew got Michael the ball.,got,ditransitive
12,Jack cut Harry the ball.,cut,ditransitive
12,Bill hit George the wall.,hit,ditransitive
12,Henry kicked the wall through the hole.,kicked,caused-motion
12,Adam got the fridge through the forest.,got,caused-motion
12,Eric cut the bread to the airport.,cut,caused-motion
12,David hit the door into the house.,hit,caused-motion
12,Mike kicked the box apart.,kicked,resultative
12,Bob got the book closed.,got,resultative
12,Tom cut the tree down.,cut,resultative
12,Steve hit the window open.,hit,resultative
13,Adam pulled the window.,pulled,transitive
13,Henry sliced the book.,sliced,transitive
13,Michael punched the door.,punched,transitive
13,Mike kicked the box.,kicked,transitive
13,Steve pulled George the ball.,pulled,ditransitive
13,Andrew sliced Sam the bread.,sliced,ditransitive
13,John punched Bob the book.,punched,ditransitive
13,Thomas kicked Tom the wall.,kicked,ditransitive
13,Eric pulled the tree onto the bed.,pulled,caused-motion
13,Paul sliced the ball to the airport.,sliced,caused-motion
13,David punched the wall off the bridge.,punched,caused-motion
13,Frank kicked the door onto the roof.,kicked,caused-motion
13,James pulled the door open.,pulled,resultative
13,Harry sliced the box apart.,sliced,resultative
13,Bill punched the table apart.,punched,resultative
13,Jack kicked the ball free.,kicked,resultative
14,Bill pushed the door.,pushed,transitive
14,John hit the fridge.,hit,transitive
14,David pulled the door.,pulled,transitive
14,Mike threw the laptop.,threw,transitive
14,Jack pushed George the fridge.,pushed,ditransitive
14,James hit Paul the wall.,hit,ditransitive
14,Tom pulled Thomas the window.,pulled,ditransitive
14,Harry threw Frank the book.,threw,ditransitive
14,Bob pushed the laptop into the net.,pushed,caused-motion
14,Sam hit the window through the forest.,hit,caused-motion
14,Andrew pulled the tree through the air.,pulled,caused-motion
14,Henry threw the box into the water.,threw,caused-motion
14,Michael pushed the window open.,pushed,resultative
14,Steve hit the door open.,hit,resultative
14,Adam pulled the ball free.,pulled,resultative
14,Eric threw the window open.,threw,resultative
15,John pulled the door.,pulled,transitive
15,George sliced the ball.,sliced,transitive
15,Bob cut the ball.,cut,transitive
15,Frank hit the window.,hit,transitive
15,Michael pulled Jack the ball.,pulled,ditransitive
15,Adam sliced Steve the bread.,sliced,ditransitive
15,Henry cut Thomas the bread.,cut,ditransitive
15,Sam hit Harry the wall.,hit,ditransitive
15,Eric pulled the tree into the house.,pulled,caused-motion
15,David sliced the box onto the roof.,sliced,caused-motion
