construction,sentence,nonse_verb
ditransitive,She hit him the sulfur.,hit
ditransitive,She gained him the move.,gained
ditransitive,She narrowed him the cable.,narrowed
ditransitive,She slashed her the petition.,slashed
ditransitive,He lost him the resolution.,lost
ditransitive,He stayed her the likelihood.,stayed
ditransitive,He ended him the refusal.,ended
ditransitive,He launched him the entry.,launched
ditransitive,He lacked her the alliance.,lacked
ditransitive,She accounted him the violation.,accounted
ditransitive,He happened him the boat.,happened
ditransitive,She worked him the nomination.,worked
ditransitive,He failed her the willingness.,failed
ditransitive,She faced him the bus.,faced
ditransitive,She signaled him the privilege.,signaled
ditransitive,He stepped her the hour.,stepped
ditransitive,He denied him the duck.,denied
ditransitive,He extended him the factor.,extended
ditransitive,She occurred him the equipment.,occurred
ditransitive,He attracted him the recommendation.,attracted
ditransitive,She offered him the side.,offered
ditransitive,He met him the conviction.,met
ditransitive,He thought her the authority.,thought
ditransitive,He issued her the screen.,issued
ditransitive,She meant him the schedule.,meant
ditransitive,He benefited him the leather.,benefited
ditransitive,He faced her the consensus.,faced
ditransitive,He headed him the chance.,headed
ditransitive,He cost him the abortion.,cost
ditransitive,She surprised him the value.,surprised
ditransitive,He resigned her the ride.,resigned
ditransitive,She reacted him the handful.,reacted
ditransitive,He downgraded him the alliance.,downgraded
ditransitive,She discovered her the gallery.,discovered
ditransitive,He sold him the promotion.,sold
ditransitive,He retained her the purchase.,retained
ditransitive,She climbed her the background.,climbed
ditransitive,She told him the penalty.,told
ditransitive,He sat him the timetable.,sat
ditransitive,He slowed her the doubt.,slowed
ditransitive,He forced him the sector.,forced
ditransitive,She meant him the side.,meant
ditransitive,He decided him the flagship.,decided
ditransitive,He pushed her the provider.,pushed
ditransitive,She included her the index.,included
ditransitive,She replaced her the jury.,replaced
ditransitive,He put her the ambassador.,put
ditransitive,He consented her the turbulence.,consented
ditransitive,He agreed him the breakfast.,agreed
ditransitive,He remained her the comedy.,remained
ditransitive,She entered her the total.,entered
ditransitive,She offered her the bargain.,offered
ditransitive,She appeared her the hdtv.,appeared
ditransitive,He bid him the ceiling.,bid
ditransitive,She killed him the hell.,killed
ditransitive,He created him the broadcast.,created
ditransitive,He operated her the enterprise.,operated
ditransitive,He carried him the labor.,carried
ditransitive,He followed him the nation.,followed
ditransitive,She handled him the apartment.,handled
ditransitive,He sank him the consultant.,sank
ditransitive,She rose him the chaos.,rose
ditransitive,She reached him the hair.,reached
ditransitive,She named him the president.,named
ditransitive,He lost her the productivity.,lost
ditransitive,He recommended her the husband.,recommended
ditransitive,He insisted her the fuel.,insisted
ditransitive,She noted him the motor.,noted
ditransitive,He reiterated him the weakness.,reiterated
ditransitive,He switched him the cocoa.,switched
ditransitive,He increased him the steam.,increased
ditransitive,He reacted him the letter.,reacted
ditransitive,She posted him the correction.,posted
ditransitive,He demanded her the franc.,demanded
ditransitive,He dominated her the tool.,dominated
ditransitive,He declined him the producer.,declined
ditransitive,She used him the computer.,used
ditransitive,He slashed him the smoke.,slashed
ditransitive,He fought him the movement.,fought
ditransitive,He grew him the county.,grew
ditransitive,She put her the pressure.,put
ditransitive,She used him the indicator.,used
ditransitive,He retained him the treasury.,retained
ditransitive,She owned him the league.,owned
ditransitive,He rebounded her the breakfast.,rebounded
ditransitive,She pushed him the easing.,pushed
ditransitive,She did him the core.,did
ditransitive,She sold her the tendency.,sold
ditransitive,He returned him the representation.,returned
ditransitive,She reflected him the ton.,reflected
ditransitive,She threw him the dust.,threw
ditransitive,He merged her the conviction.,merged
ditransitive,She brought him the tumble.,brought
ditransitive,He skidded her the accord.,skidded
ditransitive,He slid him the notion.,slid
ditransitive,He exceeded her the cap.,exceeded
ditransitive,She affected her the context.,affected
ditransitive,She wrote her the nothing.,wrote
ditransitive,She sold her the mood.,sold
ditransitive,She sent her the bank.,sent
ditransitive,She urged her the cholesterol.,urged
ditransitive,She came him the representative.,came
ditransitive,He wanted her the employee.,wanted
ditransitive,She referred her the bike.,referred
ditransitive,She promised him the creation.,promised
ditransitive,He decided her the perspective.,decided
ditransitive,He declined her the strategy.,declined
ditransitive,She offered him the cigarette.,offered
ditransitive,She told her the ownership.,told
ditransitive,She appeared her the farm.,appeared
ditransitive,He advised her the extent.,advised
ditransitive,She considered her the palladium.,considered
ditransitive,She shot her the carbon.,shot
ditransitive,She achieved her the interpretation.,achieved
ditransitive,She placed him the issuance.,placed
ditransitive,He remained her the drain.,remained
ditransitive,He introduced her the treatment.,introduced
ditransitive,He drew him the massage.,drew
ditransitive,He offered him the call.,offered
ditransitive,She elected him the pregnancy.,elected
ditransitive,He built him the exercise.,built
ditransitive,She violated him the measure.,violated
ditransitive,She left her the employer.,left
ditransitive,She staged him the business.,staged
ditransitive,She tumbled her the employment.,tumbled
ditransitive,He came her the club.,came
ditransitive,She requested him the capability.,requested
ditransitive,He founded him the contractor.,founded
ditransitive,She argued her the basketball.,argued
ditransitive,He approached him the socialism.,approached
ditransitive,He amounted him the cell.,amounted
ditransitive,She spoke her the headquarters.,spoke
ditransitive,He decided him the producer.,decided
ditransitive,He caused her the father.,caused
ditransitive,He adopted him the ban.,adopted
ditransitive,She managed him the expertise.,managed
ditransitive,He eased her the megabyte.,eased
ditransitive,She backed her the examination.,backed
ditransitive,He recorded her the utility.,recorded
ditransitive,He obtained him the air.,obtained
ditransitive,She focused him the cash.,focused
ditransitive,He flew her the document.,flew
ditransitive,He paid her the mine.,paid
ditransitive,He carried her the tool.,carried
ditransitive,He realized him the situation.,realized
ditransitive,He wanted him the steel.,wanted
ditransitive,He played him the chapter.,played
ditransitive,He traded her the business.,traded
ditransitive,She happened her the card.,happened
