group,sentence,construction
0,William passed Dylan some vodka.,ditransitive
0,Jason bought Bruce some soup.,ditransitive
0,Joseph lent Harry some cream.,ditransitive
0,Fred threw Steve some oil.,ditransitive
0,Bob offered some gin to Charlie.,transitive
0,Jerry brought some slime to Andrew.,transitive
0,Sam chucked some syrup to Doug.,transitive
0,Thomas gave some juice to Aaron.,transitive
0,Eric spilled some beer on James.,caused-motion
0,Jack dumped some yogurt on Mike.,caused-motion
0,Edward poured some blood on George.,caused-motion
0,Henry dropped some paint on Paul.,caused-motion
0,Joe sprayed Don with some tea.,with-applicative
0,Tom plastered Mark with some shampoo.,with-applicative
0,Adam brushed Michael with some milk.,with-applicative
0,Bill dabbed Frank with some honey.,with-applicative
1,Joe handed Jack some shampoo.,ditransitive
1,Aaron lent Bill some cream.,ditransitive
1,Steve passed Jason some juice.,ditransitive
1,Eric sent Andrew some gin.,ditransitive
1,Eddie chucked some gasoline to John.,transitive
1,Bruce brought some wine to Thomas.,transitive
1,Paul kicked some tea to Dylan.,transitive
1,Charlie threw some ink to Fred.,transitive
1,Sam sprinkled some coffee on Frank.,caused-motion
1,Adam dropped some bleach on William.,caused-motion
1,Harry dumped some acid on Joseph.,caused-motion
1,Mark splashed some slime on Don.,caused-motion
1,James coated David with some yogurt.,with-applicative
1,Henry brushed Mike with some whisky.,with-applicative
1,George plastered Bob with some water.,with-applicative
1,Chris dabbed Tom with some sand.,with-applicative
2,Dylan threw William some milk.,ditransitive
2,Thomas brought Frank some slime.,ditransitive
2,Joseph lent Fred some soda.,ditransitive
2,Jason served Edward some soup.,ditransitive
2,Doug kicked some blood to Bill.,transitive
2,Andrew handed some tea to Jack.,transitive
2,Eric gave some bleach to Charlie.,transitive
2,Joe offered some coffee to Henry.,transitive
2,Harry dumped some yogurt on Mike.,caused-motion
2,Bob sprinkled some beer on Paul.,caused-motion
2,Chris sprayed some honey on Bruce.,caused-motion
2,Don dropped some whisky on George.,caused-motion
2,John plastered David with some gin.,with-applicative
2,Mark rubbed Aaron with some juice.,with-applicative
2,Eddie dabbed James with some cream.,with-applicative
2,Sam stained Michael with some gasoline.,with-applicative
3,Adam lent Chris some beer.,ditransitive
3,Eddie served John some juice.,ditransitive
3,Sam threw Bruce some oil.,ditransitive
3,David handed Dylan some wine.,ditransitive
3,Charlie sent some yogurt to Don.,transitive
3,Jerry gave some gin to Doug.,transitive
3,Thomas brought some blood to Andrew.,transitive
3,Henry tossed some shampoo to Joseph.,transitive
3,Michael spilled some coffee on William.,caused-motion
3,Edward dropped some gasoline on Mark.,caused-motion
3,Paul dumped some honey on Harry.,caused-motion
3,Jason poured some ink on Bob.,caused-motion
3,Bill plastered Frank with some soup.,with-applicative
3,Fred covered James with some cream.,with-applicative
3,Aaron coated Eric with some bleach.,with-applicative
3,Tom sprayed Steve with some soda.,with-applicative
4,Joseph bought Michael some syrup.,ditransitive
4,Adam brought Jerry some cream.,ditransitive
4,Thomas sent Mark some beer.,ditransitive
4,Eddie lent Dylan some whisky.,ditransitive
4,James tossed some ink to William.,transitive
4,George gave some gasoline to Paul.,transitive
4,Henry offered some slime to Aaron.,transitive
4,Doug kicked some blood to Frank.,transitive
4,Eric splashed some sand on Sam.,caused-motion
4,Joe dropped some shampoo on John.,caused-motion
4,Mike sprinkled some yogurt on Jack.,caused-motion
4,Bob dumped some acid on Andrew.,caused-motion
4,Charlie coated Don with some tea.,with-applicative
4,Fred brushed Jason with some soup.,with-applicative
4,Harry dabbed Bill with some oil.,with-applicative
4,David stained Bruce with some wine.,with-applicative
5,Eddie handed Bob some paint.,ditransitive
5,Tom passed Chris some sand.,ditransitive
5,Charlie gave David some blood.,ditransitive
5,Harry offered Steve some juice.,ditransitive
5,Sam tossed some gin to Paul.,transitive
5,Michael chucked some wine to Frank.,transitive
5,Dylan kicked some ink to Jason.,transitive
5,Eric threw some yogurt to William.,transitive
5,George splashed some whisky on John.,caused-motion
5,James sprinkled some cream on Fred.,caused-motion
5,Bill dumped some gasoline on Joseph.,caused-motion
5,Aaron sprayed some milk on Henry.,caused-motion
5,Jack coated Doug with some syrup.,with-applicative
5,Bruce rubbed Joe with some shampoo.,with-applicative
5,Mark stained Jerry with some coffee.,with-applicative
5,Don covered Edward with some soup.,with-applicative
6,William handed Fred some bleach.,ditransitive
6,Eric bought Bruce some vodka.,ditransitive
6,Edward lent David some shampoo.,ditransitive
6,Mike sent George some water.,ditransitive
6,Aaron kicked some whisky to Mark.,transitive
6,Bob threw some tea to Harry.,transitive
6,Joe passed some cream to John.,transitive
6,Doug chucked some paint to Charlie.,transitive
6,Jason sprinkled some beer on Don.,caused-motion
6,Tom sprayed some blood on Jerry.,caused-motion
6,Joseph poured some slime on Bill.,caused-motion
6,Jack dropped some coffee on Sam.,caused-motion
6,James coated Michael with some juice.,with-applicative
6,Eddie stained Chris with some syrup.,with-applicative
6,Henry plastered Paul with some gasoline.,with-applicative
6,Andrew dabbed Dylan with some milk.,with-applicative
7,Don served Joe some wine.,ditransitive
7,Doug brought Henry some milk.,ditransitive
7,Jack passed Sam some gin.,ditransitive
7,Steve offered Thomas some paint.,ditransitive
7,Edward kicked some shampoo to Adam.,transitive
7,Dylan handed some whisky to Chris.,transitive
7,Jason tossed some syrup to Mike.,transitive
7,Eric chucked some slime to Aaron.,transitive
7,John splashed some juice on Eddie.,caused-motion
7,Frank dropped some vodka on Bob.,caused-motion
7,Jerry spilled some ink on Mark.,caused-motion
7,George dumped some water on William.,caused-motion
7,Fred covered David with some soup.,with-applicative
7,Andrew plastered Tom with some blood.,with-applicative
7,Michael dabbed Bruce with some gasoline.,with-applicative
7,Paul sprayed Bill with some cream.,with-applicative
8,Fred brought Frank some water.,ditransitive
8,George handed Henry some coffee.,ditransitive
8,Jason sent Doug some whisky.,ditransitive
8,Eddie lent Aaron some gin.,ditransitive
8,Harry chucked some beer to Bill.,transitive
8,Mark offered some wine to Eric.,transitive
8,Joe kicked some acid to Jack.,transitive
8,Paul gave some vodka to Chris.,transitive
8,David dumped some tea on Joseph.,caused-motion
8,Bruce poured some oil on Don.,caused-motion
8,Adam dropped some paint on Steve.,caused-motion
8,Andrew sprinkled some ink on Edward.,caused-motion
8,Jerry stained John with some gasoline.,with-applicative
8,Bob covered James with some syrup.,with-applicative
8,William sprayed Mike with some bleach.,with-applicative
8,Michael plastered Thomas with some milk.,with-applicative
9,Harry sent Eddie some gasoline.,ditransitive
