word,syn1,syn2
audience,performers,singers
stage,theatre,movie
carrots,potatoes,oranges
salad,soup,bread
key,lock,door
house,apartment,condo
gun,rifle,sword
hostages,victims,policemen
office,studio,desk
knife,plate,spoon
floor,ground,roof
milk,butter,coffee
glass,cup,bottle
tooth,mouth,tongue
town,city,province
home,family,hometown
dog,cat,rabbit
village,city,farm
stone,rock,pebble
lake,sea,ocean
ball,racket,basketball
fence,wall,gate
goal,objective,achievement
handkerchief,cloth,tissue
pocket,pants,jacket
car,truck,airplane
bathroom,kitchen,bathtub
professor,student,teacher
prison,cell,courthouse
room,hotel,building
branches,trees,logs
escape route,exit,entrance
stairs,elevators,escalators
track,road,path
summit,peak,mountain
bag of potato chips,basket of apples,grocery bag
profession,career,degree
girls,women,teenagers
meeting,call,date
street,road,avenue
finish line,completion,end date
cliff,peak,mountain
snow,rain,ice
river,ocean,stream
probe,spaceship,drone
glacier,iceberg,permafrost
