group,sentence,construction
0,William passed Dylan some water.,ditransitive
0,Jason bought Bruce some syrup.,ditransitive
0,Joseph lent Harry some cream.,ditransitive
0,Fred threw Steve some oil.,ditransitive
0,Bob chucked some gin to Charlie.,to-dative
0,Jerry kicked some soda to Andrew.,to-dative
0,Sam offered some juice to Doug.,to-dative
0,Thomas brought some beer to Aaron.,to-dative
0,Eric spilled some vodka on James.,caused-motion
0,Jack dumped some blood on Mike.,caused-motion
0,Edward poured some paint on George.,caused-motion
0,Henry dropped some tea on Paul.,caused-motion
0,Joe coated Don with some slime.,with-applicative
0,Tom plastered Mark with some milk.,with-applicative
0,Adam stained Michael with some honey.,with-applicative
0,Bill covered Frank with some bleach.,with-applicative
1,Bill lent William some slime.,ditransitive
1,Michael passed Bruce some cream.,ditransitive
1,Joe handed John some juice.,ditransitive
1,Mike bought Steve some gin.,ditransitive
1,Paul offered some gasoline to Aaron.,to-dative
1,Sam gave some wine to Jason.,to-dative
1,Dylan kicked some tea to Charlie.,to-dative
1,James threw some ink to Fred.,to-dative
1,Tom dumped some coffee on Frank.,caused-motion
1,Adam poured some bleach on Joseph.,caused-motion
1,Harry splashed some honey on Thomas.,caused-motion
1,Eddie sprayed some milk on Don.,caused-motion
1,Mark covered David with some acid.,with-applicative
1,Henry rubbed Eric with some yogurt.,with-applicative
1,George plastered Bob with some oil.,with-applicative
1,Chris dabbed Jack with some water.,with-applicative
2,Dylan handed William some milk.,ditransitive
2,Thomas brought Frank some soda.,ditransitive
2,Joseph lent Fred some soup.,ditransitive
2,Jason served Edward some syrup.,ditransitive
2,Doug passed some blood to Bill.,to-dative
2,Andrew kicked some bleach to Jack.,to-dative
2,Eric sent some coffee to Charlie.,to-dative
2,Joe tossed some yogurt to Henry.,to-dative
2,Harry dumped some beer on Mike.,caused-motion
2,Bob sprinkled some honey on Paul.,caused-motion
2,Chris sprayed some whisky on Bruce.,caused-motion
2,Don dropped some gin on George.,caused-motion
2,John plastered David with some juice.,with-applicative
2,Mark brushed Aaron with some cream.,with-applicative
2,Eddie covered James with some gasoline.,with-applicative
2,Sam rubbed Michael with some water.,with-applicative
3,Adam served Chris some beer.,ditransitive
3,Eddie lent John some juice.,ditransitive
3,Sam sent Bruce some oil.,ditransitive
3,David offered Dylan some wine.,ditransitive
3,Charlie gave some yogurt to Don.,to-dative
3,Jerry brought some gin to Doug.,to-dative
3,Thomas handed some blood to Andrew.,to-dative
3,Henry threw some slime to Joseph.,to-dative
3,Michael spilled some coffee on William.,caused-motion
3,Edward dropped some gasoline on Mark.,caused-motion
3,Paul dumped some soda on Harry.,caused-motion
3,Jason poured some ink on Bob.,caused-motion
3,Bill plastered Frank with some honey.,with-applicative
3,Fred dabbed James with some cream.,with-applicative
3,Aaron sprayed Eric with some bleach.,with-applicative
3,Tom coated Steve with some shampoo.,with-applicative
4,Joseph bought Michael some tea.,ditransitive
4,Adam brought Jerry some cream.,ditransitive
4,Thomas sent Mark some beer.,ditransitive
4,Eddie lent Dylan some whisky.,ditransitive
4,James offered some ink to William.,to-dative
4,George chucked some gasoline to Paul.,to-dative
4,Henry passed some soda to Aaron.,to-dative
4,Doug gave some blood to Frank.,to-dative
4,Eric splashed some shampoo on Sam.,caused-motion
4,Joe dropped some slime on John.,caused-motion
4,Mike sprinkled some gin on Jack.,caused-motion
4,Bob dumped some acid on Andrew.,caused-motion
4,Charlie sprayed Don with some yogurt.,with-applicative
4,Fred stained Jason with some soup.,with-applicative
4,Harry covered Bill with some milk.,with-applicative
4,David rubbed Bruce with some wine.,with-applicative
5,Eddie handed Bob some paint.,ditransitive
5,Tom passed Chris some shampoo.,ditransitive
5,Charlie gave David some blood.,ditransitive
5,Harry offered Steve some juice.,ditransitive
5,Sam brought some gin to Paul.,to-dative
5,Michael threw some wine to Frank.,to-dative
5,Dylan chucked some ink to Jason.,to-dative
5,Eric sent some yogurt to William.,to-dative
5,George splashed some whisky on John.,caused-motion
5,James sprinkled some cream on Fred.,caused-motion
5,Bill dumped some soda on Joseph.,caused-motion
5,Aaron sprayed some milk on Henry.,caused-motion
5,Jack coated Doug with some syrup.,with-applicative
5,Bruce brushed Joe with some gasoline.,with-applicative
5,Mark rubbed Jerry with some coffee.,with-applicative
5,Don dabbed Edward with some oil.,with-applicative
6,William handed Fred some bleach.,ditransitive
6,Eric bought Bruce some water.,ditransitive
6,Edward lent David some slime.,ditransitive
6,Mike sent George some whisky.,ditransitive
6,Aaron gave some vodka to Mark.,to-dative
6,Bob offered some cream to Harry.,to-dative
6,Joe tossed some paint to John.,to-dative
6,Doug threw some beer to Charlie.,to-dative
6,Jason sprinkled some blood on Don.,caused-motion
6,Tom sprayed some soda on Jerry.,caused-motion
6,Joseph poured some coffee on Bill.,caused-motion
6,Jack dropped some juice on Sam.,caused-motion
6,James coated Michael with some tea.,with-applicative
6,Eddie rubbed Chris with some gasoline.,with-applicative
6,Henry plastered Paul with some milk.,with-applicative
6,Andrew covered Dylan with some gin.,with-applicative
7,Joe brought Doug some soda.,ditransitive
7,Henry passed Jack some juice.,ditransitive
7,Steve threw Edward some slime.,ditransitive
7,Adam offered Dylan some ink.,ditransitive
7,Chris chucked some tea to Jason.,to-dative
7,Thomas kicked some gin to Eric.,to-dative
7,Aaron handed some paint to Michael.,to-dative
7,James tossed some wine to Eddie.,to-dative
7,Frank dumped some blood on Bob.,caused-motion
7,Joseph sprayed some coffee on Don.,caused-motion
7,Harry dropped some bleach on Mark.,caused-motion
7,William poured some honey on George.,caused-motion
7,Jerry covered Paul with some acid.,with-applicative
7,Bruce coated Bill with some milk.,with-applicative
7,Charlie plastered David with some soup.,with-applicative
7,Mike brushed John with some beer.,with-applicative
8,Henry passed Jason some wine.,ditransitive
8,Jack handed John some gin.,ditransitive
8,Adam offered Harry some whisky.,ditransitive
8,Bill bought Paul some beer.,ditransitive
8,Eric threw some coffee to Mark.,to-dative
8,Thomas tossed some acid to Doug.,to-dative
8,Chris gave some water to David.,to-dative
8,Mike kicked some vodka to Bruce.,to-dative
8,Don dropped some oil on Sam.,caused-motion
8,Fred poured some paint on Bob.,caused-motion
8,George sprayed some ink on Tom.,caused-motion
8,James dumped some gasoline on Dylan.,caused-motion
8,Frank coated Edward with some tea.,with-applicative
8,Eddie stained Steve with some bleach.,with-applicative
8,Aaron brushed Jerry with some milk.,with-applicative
8,Joseph plastered Michael with some honey.,with-applicative
9,Eddie sent Tom some gasoline.,ditransitive
9,James handed John some oil.,ditransitive
9,Bob served Doug some blood.,ditransitive
9,Bruce passed David some whisky.,ditransitive
9,Frank kicked some vodka to George.,to-dative
9,Mike offered some soup to Joseph.,to-dative
9,Jason gave some cream to Sam.,to-dative
9,William threw some shampoo to Aaron.,to-dative
9,Eric dropped some soda on Jerry.,caused-motion
9,Michael sprinkled some syrup on Harry.,caused-motion
9,Fred poured some beer on Joe.,caused-motion
9,Dylan dumped some juice on Don.,caused-motion
9,Mark sprayed Edward with some ink.,with-applicative
9,Paul plastered Jack with some tea.,with-applicative
9,Steve covered Chris with some milk.,with-applicative
9,Bill coated Thomas with some yogurt.,with-applicative
10,Mark handed Don some gasoline.,ditransitive
10,George bought Frank some gin.,ditransitive
10,Chris served James some bleach.,ditransitive
10,Doug offered Paul some syrup.,ditransitive
10,Eddie threw some soup to Thomas.,to-dative
10,John brought some yogurt to Jerry.,to-dative
10,Harry sent some cream to David.,to-dative
10,Charlie tossed some coffee to Dylan.,to-dative
10,William dumped some water on Tom.,caused-motion
10,Aaron splashed some acid on Joe.,caused-motion
10,Edward sprayed some paint on Sam.,caused-motion
10,Michael sprinkled some beer on Eric.,caused-motion
10,Adam brushed Henry with some whisky.,with-applicative
10,Mike coated Bill with some slime.,with-applicative
10,Joseph covered Andrew with some milk.,with-applicative
10,Jack dabbed Bob with some vodka.,with-applicative
11,Henry brought Michael some tea.,ditransitive
11,Bob sent Thomas some honey.,ditransitive
11,Joe lent Paul some bleach.,ditransitive
11,Steve passed Eric some soda.,ditransitive
11,Doug gave some gasoline to Frank.,to-dative
11,Jerry handed some acid to James.,to-dative
11,Mike offered some blood to Jack.,to-dative
11,Fred kicked some oil to Eddie.,to-dative
11,Chris poured some juice on Edward.,caused-motion
11,John sprayed some slime on Harry.,caused-motion
11,Dylan dropped some water on Joseph.,caused-motion
11,Bill splashed some whisky on Charlie.,caused-motion
11,Aaron dabbed William with some syrup.,with-applicative
11,Bruce coated Adam with some milk.,with-applicative
11,Mark rubbed Jason with some coffee.,with-applicative
11,Andrew brushed Tom with some vodka.,with-applicative
12,Joe bought Joseph some juice.,ditransitive
12,George handed Tom some yogurt.,ditransitive
12,Bill brought Bruce some paint.,ditransitive
12,Jack served Jason some soup.,ditransitive
12,Michael passed some water to Sam.,to-dative
12,Dylan threw some slime to Eric.,to-dative
12,Aaron kicked some honey to Don.,to-dative
12,Adam gave some wine to William.,to-dative
12,Thomas sprayed some whisky on Steve.,caused-motion
12,Fred spilled some bleach on Mike.,caused-motion
12,Edward dropped some tea on Eddie.,caused-motion
12,Andrew dumped some oil on Jerry.,caused-motion
12,James stained Frank with some blood.,with-applicative
12,Doug rubbed Chris with some gin.,with-applicative
12,David coated Henry with some milk.,with-applicative
12,Mark plastered Harry with some ink.,with-applicative
13,Charlie sent Mike some vodka.,ditransitive
13,Mark brought Tom some acid.,ditransitive
13,Michael offered Jerry some gasoline.,ditransitive
13,Jason handed Harry some wine.,ditransitive
13,William passed some ink to Edward.,to-dative
13,Chris chucked some oil to James.,to-dative
13,John tossed some soda to Dylan.,to-dative
13,Eric threw some cream to Doug.,to-dative
13,Joseph splashed some whisky on Henry.,caused-motion
13,Fred poured some juice on Bill.,caused-motion
13,Aaron sprinkled some soup on Steve.,caused-motion
13,Bruce sprayed some paint on Joe.,caused-motion
13,Jack coated Paul with some shampoo.,with-applicative
13,Frank covered George with some syrup.,with-applicative
13,Don plastered Adam with some blood.,with-applicative
13,Andrew dabbed Bob with some slime.,with-applicative
14,Eric served Jack some coffee.,ditransitive
14,Adam bought Charlie some juice.,ditransitive
14,Doug gave Bob some gin.,ditransitive
14,Mark brought Bill some soda.,ditransitive
14,Joe offered some syrup to Jason.,to-dative
14,Michael tossed some slime to Sam.,to-dative
14,Henry passed some acid to Edward.,to-dative
14,Harry kicked some honey to Mike.,to-dative
14,Fred sprinkled some soup on Dylan.,caused-motion
14,Steve dropped some tea on Eddie.,caused-motion
14,Andrew spilled some cream on George.,caused-motion
14,John dumped some oil on Chris.,caused-motion
14,Joseph plastered Thomas with some vodka.,with-applicative
14,Frank rubbed Don with some shampoo.,with-applicative
14,Bruce stained Aaron with some water.,with-applicative
14,William brushed David with some wine.,with-applicative
15,Thomas bought Bob some yogurt.,ditransitive
15,Bruce offered Jack some whisky.,ditransitive
15,Edward gave Harry some paint.,ditransitive
15,Sam threw John some slime.,ditransitive
15,Doug handed some ink to Fred.,to-dative
15,Aaron tossed some gin to Paul.,to-dative
15,Bill chucked some wine to George.,to-dative
15,Charlie kicked some bleach to Henry.,to-dative
15,Don sprinkled some tea on Tom.,caused-motion
15,Joe dumped some syrup on Mike.,caused-motion
15,James poured some water on Eddie.,caused-motion
15,Joseph splashed some soup on Chris.,caused-motion
15,William brushed Andrew with some honey.,with-applicative
15,Frank rubbed Dylan with some vodka.,with-applicative
15,Mark dabbed Eric with some juice.,with-applicative
15,Adam sprayed Jerry with some oil.,with-applicative
16,Aaron bought William some whisky.,ditransitive
16,Jerry offered David some yogurt.,ditransitive
16,Doug lent Bruce some tea.,ditransitive
16,James gave Don some gasoline.,ditransitive
16,Eddie handed some vodka to Fred.,to-dative
16,Jason chucked some wine to Andrew.,to-dative
16,Eric threw some blood to Harry.,to-dative
16,Joe sent some oil to Dylan.,to-dative
16,Mark poured some coffee on Bill.,caused-motion
16,Edward spilled some milk on Mike.,caused-motion
16,John dropped some paint on George.,caused-motion
16,Jack sprinkled some slime on Steve.,caused-motion
16,Joseph sprayed Tom with some water.,with-applicative
16,Thomas coated Paul with some shampoo.,with-applicative
16,Sam covered Adam with some soda.,with-applicative
16,Charlie stained Bob with some beer.,with-applicative
17,Mark bought Steve some soup.,ditransitive
17,Paul offered Aaron some water.,ditransitive
17,Chris sent Thomas some bleach.,ditransitive
17,Andrew gave Fred some juice.,ditransitive
17,Harry handed some yogurt to Joe.,to-dative
17,Bill threw some honey to Eddie.,to-dative
17,Don passed some wine to John.,to-dative
17,Jack kicked some ink to Dylan.,to-dative
17,Edward poured some acid on Mike.,caused-motion
17,James sprinkled some slime on Henry.,caused-motion
17,William dropped some oil on Eric.,caused-motion
17,Bruce sprayed some whisky on David.,caused-motion
17,George plastered Tom with some soda.,with-applicative
17,Jerry coated Joseph with some gasoline.,with-applicative
17,Michael dabbed Doug with some coffee.,with-applicative
