text1,text2,correct,delta_bai,code_bai,delta_zining,code_zining,delta_upwork,code_upwork
His knife clinked to the floor .,His knife clinked to the inside .,-2,-2,nonsense,-2,nonsense,-2,physical
Claire sprints into writing .,Claire sprints into work .,2,0,,0,,2,nonsense
A stream of visitors turned up at the camp .,A stream of listeners turned up at the camp .,-2,-2,atypical,0,,-2,expression
Grill the coconut until golden ; cool .,Grill the cake until golden ; cool .,-2,2,atypical,-2,physical,2,atypical
The contract was concluded at that beginning .,The contract was concluded at that time .,2,2,nonsense,2,atypical,-1,expression
Zhukov snorted in discontent .,Zhukov snorted in annoyance .,2,0,,1,expression,0,
Money hinged on the fact .,Worth hinged on the fact .,-2,-2,expression,-2,physical,0,
"` Will you sew on my pocket ? "" ","` Will you sew on my button ? "" ",2,1,atypical,0,,-1,expression
Liti screamed her outcry .,Liti screamed her outrage .,2,0,,0,,0,
Seizure of UN troops by Khmers Rouges,Seizure of UN forces by Khmers Rouges,-2,0,,0,,0,
The response was heart-warming .,The sending was heart-warming .,-2,-2,nonsense,-2,nonsense,-2,expression
He rose from his chair and embraced her warmly .,He rose from his bookcase and embraced her warmly .,-2,-2,physical,-2,physical,-2,physical
My two chips were ready in my sweaty leaf .,My two chips were ready in my sweaty palm .,2,2,physical,2,physical,2,physical
He dismounted to lead his mare across .,He dismounted to lead his terrier across .,-2,-2,atypical,0,,0,
Karlinsky stroked his beard and smiled .,Karlinsky stroked his pale and smiled .,-2,-2,syntactic,-2,syntactic,-2,expression
That evening I walked the streets again .,That evening I walked the walkways again .,-2,-1,expression,0,,-2,physical
The whole place stank .,The whole in stank .,-2,-2,syntactic,-2,syntactic,-2,syntactic
Despite its beauty this whole area is little visited .,Despite its beauty this whole close is little visited .,-2,-2,syntactic,-2,nonsense,-2,expression
The employee was concluded at that time .,The contract was concluded at that time .,2,2,expression,2,atypical,2,atypical
We know he 's a suicide addict .,We know he 's a heroin addict .,2,2,atypical,2,physical,2,expression
Three aspects were pinpointed and discussed in subsequent meetings .,Three themes were pinpointed and discussed in subsequent meetings .,2,0,,-1,atypical,-2,expression
• What an awful series of shows .,• What an awful series of events .,2,0,,0,,0,
He thought he knew the force of the wind .,He thought he knew the force of the light .,-2,-1,physical,0,,-2,atypical
It was bundled in furs and wore high sneakers .,It was bundled in furs and wore high boots .,2,1,atypical,2,physical,-2,atypical
